timestamp_utc,date,location,lat,lon,temp_f,apparent_temp_f,dew_point_f,humidity_pct,precip_today_in,wind_mph,wind_gusts_mph,wind_dir_deg,pressure_hpa,cloud_cover_pct,ghi_wm2,et0_mm_hr,weather_code,temp_max_f,temp_min_f,precip_total_in,et0_daily_mm,ghi_daily_kwh,wind_max_mph,snowfall_cm
2026-06-15T17:08:05Z,2026-06-15,"Prescott, AZ",34.5400,-112.4685,83.1,82.9,49.5,31,0.0,7.0,11.4,230,843.4,0,840.0,0.0,0,88.0,66.4,0.177,6.48,6.23,20.9,0.0
2026-06-15T17:08:06Z,2026-06-15,"Daytona Beach, FL",29.2108,-81.0228,91.9,99.3,72.5,53,0.0,10.8,15.4,248,1014.1,24,830.0,0.0,1,94.5,75.6,0.016,5.18,6.14,12.7,0.0
2026-06-16T16:41:14Z,2026-06-16,"Prescott, AZ",34.5400,-112.4685,83.5,81.5,46.0,27,0.0,7.3,9.4,12,841.4,4,760.0,0.0,0,91.4,66.0,0.0,8.51,8.06,23.6,0.0
2026-06-16T16:41:15Z,2026-06-16,"Daytona Beach, FL",29.2108,-81.0228,86.2,98.1,75.7,71,0.0,8.1,12.8,251,1013.6,45,950.0,0.0,95,87.6,75.0,1.236,4.2,6.09,18.5,0.0
2026-06-17T15:14:55Z,2026-06-17,"Prescott, AZ",34.5400,-112.4685,82.0,75.7,44.8,27,0.0,11.7,17.9,253,838.0,0,475.0,0.0,0,90.9,71.4,0.0,9.39,8.52,19.6,0.0
2026-06-17T15:14:56Z,2026-06-17,"Daytona Beach, FL",29.2108,-81.0228,84.4,95.0,75.7,75,0.0,7.6,13.9,212,1014.2,0,808.0,0.0,95,90.1,73.9,0.067,5.1,7.16,12.0,0.0
2026-06-18T14:56:54Z,2026-06-18,"Prescott, AZ",34.5400,-112.4685,75.7,75.4,51.6,43,0.0,1.9,5.1,216,838.4,0,411.0,0.0,0,87.8,67.3,0.0,8.9,8.78,15.1,0.0
2026-06-18T14:56:54Z,2026-06-18,"Daytona Beach, FL",29.2108,-81.0228,86.4,98.2,78.4,77,0.0,7.9,13.0,177,1016.9,42,767.0,0.0,95,90.0,75.2,0.591,5.7,7.84,16.4,0.0
2026-06-19T14:53:29Z,2026-06-19,"Prescott, AZ",34.5400,-112.4685,76.6,69.1,25.5,15,0.0,6.6,16.8,204,839.5,0,435.0,0.0,0,85.1,63.7,0.0,9.53,9.36,18.8,0.0
2026-06-19T14:53:30Z,2026-06-19,"Daytona Beach, FL",29.2108,-81.0228,85.6,95.5,76.8,75,0.0,9.6,16.1,213,1015.7,16,757.0,0.0,95,91.8,75.9,0.413,5.01,6.76,24.2,0.0
2026-06-20T13:50:12Z,2026-06-20,"Prescott, AZ",34.5400,-112.4685,64.9,58.6,25.2,22,0.0,3.8,6.9,163,834.0,0,225.0,0.0,0,86.5,59.5,0.0,9.22,9.41,14.2,0.0
2026-06-20T13:50:13Z,2026-06-20,"Daytona Beach, FL",29.2108,-81.0228,78.4,86.9,71.4,79,0.0,0.9,7.8,14,1016.1,13,567.0,0.0,0,83.8,72.1,0.035,5.1,7.62,8.7,0.0
2026-06-21T13:58:25Z,2026-06-21,"Prescott, AZ",34.5400,-112.4685,65.3,58.1,9.3,11,0.0,2.2,2.2,156,833.1,0,224.0,0.0,0,88.5,61.2,0.0,9.03,9.47,12.1,0.0
2026-06-21T13:58:26Z,2026-06-21,"Daytona Beach, FL",29.2108,-81.0228,81.7,91.0,73.8,77,0.0,2.6,10.1,285,1016.7,0,584.0,0.0,0,83.1,72.9,0.205,4.56,6.66,16.1,0.0
2026-06-22T16:46:12Z,2026-06-22,"Prescott, AZ",34.5400,-112.4685,82.4,75.2,12.2,7,0.0,9.5,13.0,214,841.0,1,850.0,0.0,0,90.1,62.6,0.0,9.63,9.37,14.5,0.0
2026-06-22T16:46:13Z,2026-06-22,"Daytona Beach, FL",29.2108,-81.0228,87.3,105.4,79.9,79,0.0,1.7,5.6,130,1019.4,3,960.0,0.0,95,87.3,73.0,0.134,5.48,7.92,19.0,0.0
2026-06-23T14:38:12Z,2026-06-23,"Prescott, AZ",34.5400,-112.4685,79.9,74.7,36.5,21,0.0,4.8,12.1,208,842.3,0,364.0,0.0,0,93.4,67.6,0.0,9.47,8.9,12.7,0.0
2026-06-23T14:38:13Z,2026-06-23,"Daytona Beach, FL",29.2108,-81.0228,85.1,94.6,74.1,70,0.0,6.2,11.4,260,1020.4,2,714.0,0.0,95,90.9,74.3,0.0,5.99,8.0,18.1,0.0
